YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,DEATHS,MOD_YEAR,DR_DRINK,HIT_RUN
2001,10062,0,5,24,I-75 (SR 401),75.0,0,0,1990.0,0,0
2001,10062,0,5,24,I-75 (SR 401),75.0,0,1,1989.0,0,0
2001,10063,0,5,11,SR-125,72.0,0,0,1988.0,0,0
2001,10064,0,2,13,US-27 (SR 1),139.0,0,1,1992.0,0,0
2001,10064,0,2,13,US-27 (SR 1),139.0,0,0,1991.0,0,0
2001,10065,0,2,24,US-78 (SR 10),10.0,0,1,1999.0,0,0
2001,10066,0,1,1,392,39.0,0,1,1994.0,0,1
2001,10066,0,1,1,392,39.0,0,0,1993.0,0,1
2001,10067,0,3,16,SR-16,240.0,0,2,2000.0,0,0
2001,10068,0,1,22,223,117.0,0,1,2000.0,0,0
2001,10069,0,2,21,US-27 (SR 1),202.0,0,0,1994.0,0,0
2001,10069,0,2,21,US-27 (SR 1),202.0,0,1,1989.0,0,0
2001,10070,1,2,5,US-29 (SR 8),92.0,0,1,1984.0,1,0
2001,10071,1,2,5,I-85 (SR 403),95.0,0,1,1988.0,1,0
2001,10071,1,2,5,I-85 (SR 403),95.0,0,0,1995.0,0,0
2001,10072,0,1,21,323,22.0,0,2,2000.0,0,0
2001,10073,0,1,17,1106,8.0,0,1,1991.0,0,0
2001,10074,0,1,13,219,15.0,0,1,1995.0,0,0
2001,10075,0,7,12,I-75 (SR 401),65.0,0,1,1982.0,0,0
2001,10075,0,7,12,I-75 (SR 401),65.0,0,0,1986.0,0,0
2001,10076,0,1,17,348,49.0,0,1,1978.0,0,0
2001,10076,0,1,17,348,49.0,0,0,1993.0,0,0
2001,10077,0,1,12,82,7.0,0,1,1993.0,0,0
2001,10078,0,2,1,SR-211,25.0,0,1,1996.0,0,0
2001,10079,0,1,9,BURKE ST,72.97602739726027,0,0,1995.0,0,0
2001,10079,0,1,9,BURKE ST,72.97602739726027,0,1,1988.0,1,0
2001,10080,0,7,13,779,31.0,0,1,1994.0,0,0
2001,10080,0,7,13,779,31.0,0,0,1999.0,0,0
2001,10080,0,7,13,779,31.0,0,0,1994.0,0,0
2001,10081,1,2,7,LAKEWOOD AVE SW,12.0,1,1,1997.0,1,0
2001,10082,0,1,9,I-75 (SR 401),166.0,0,1,1996.0,1,0
