YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1991,10066,1,2,21,136,69.0,0,0,1989.0,0,0
1991,10066,1,2,21,136,69.0,0,0,1984.0,1,0
1991,10067,0,1,24,135,97.0,0,0,1987.0,0,0
1991,10067,0,1,24,135,97.0,0,0,1963.0,1,0
1991,10068,0,1,24,SR4,217.0,0,0,1983.0,1,0
1991,10069,0,7,18,125,49.0,0,0,1989.0,2,0
1991,10070,0,3,17,15,74.0,0,0,1987.0,1,0
1991,10071,0,6,14,SR520,51.0,0,0,1984.0,0,0
1991,10071,0,6,14,SR520,51.0,0,0,1979.0,1,0
1991,10072,0,1,6,22,7.0,0,0,1985.0,1,0
1991,10072,0,1,6,22,7.0,0,0,1977.0,0,0
1991,10073,0,2,1,120,45.0,0,0,1989.0,0,0
1991,10073,0,2,1,120,45.0,0,0,1974.0,1,1
1991,10074,0,2,19,115,66.0,0,0,1986.0,1,1
1991,10075,1,2,11,SR41,284.0,0,0,1982.0,0,0
1991,10076,0,7,17,314,2.0,0,0,1990.0,2,0
1991,10076,0,7,17,314,2.0,0,0,1989.0,0,0
1991,10077,1,2,21,I185,253.0,0,0,1990.0,2,1
1991,10078,1,2,21,I185,253.0,0,0,1983.0,1,0
1991,10078,1,2,21,I185,253.0,0,0,1990.0,2,0
1991,10079,0,5,11,104,99.0,0,0,1978.0,1,0
1991,10079,0,5,11,104,99.0,0,0,1984.0,0,0
1991,10080,0,3,12,326,49.0,0,0,1978.0,0,0
1991,10081,0,1,22,185,2423.0,0,0,1986.0,1,0
1991,10081,0,1,22,185,2423.0,0,0,1984.0,0,0
1991,10082,0,1,14,1551,22.0,0,0,1988.0,0,0
1991,10082,0,1,14,1551,22.0,0,0,1983.0,1,0
1991,10083,0,7,16,SR3,33.0,0,0,1978.0,1,0
1991,10084,0,1,20,2846,6.0,0,0,1986.0,1,0
1991,10085,0,6,17,SR1,161.0,0,0,1982.0,1,1
1991,10085,0,6,17,SR1,161.0,0,0,1977.0,0,0
1991,10086,0,1,14,112,245.0,0,0,1982.0,2,1
1991,10087,0,1,17,82,123.0,0,0,1990.0,1,0
1991,10088,0,1,17,57,110.0,0,0,1990.0,0,0
1991,10089,0,2,22,SR10,135.0,0,0,1988.0,1,1
1991,10090,0,3,22,I75,578.0,0,0,1987.0,1,1
1991,10091,0,3,3,SR11,71.0,0,0,1989.0,1,0
1991,10092,1,2,1,139,140.0,0,0,1983.0,2,0
1991,10092,1,2,1,139,140.0,0,0,1977.0,0,0
1991,10093,1,2,10,SR520,249.0,0,0,1974.0,1,1
1991,10094,0,7,8,SR38,111.0,0,0,1988.0,1,0
1991,10094,0,7,8,SR38,111.0,0,0,1989.0,0,0
1991,10095,0,4,19,134,41.0,0,0,1990.0,0,1
1991,10095,0,4,19,134,41.0,0,0,1988.0,1,0
1991,10096,0,4,15,48,2.0,0,0,1986.0,0,0
1991,10096,0,4,15,48,2.0,0,0,1985.0,1,0
1991,10096,0,4,15,48,2.0,0,0,1989.0,0,0
1991,10097,0,4,18,755,3.0,0,0,1980.0,1,1
1991,10098,0,3,18,82,115.0,0,0,1978.0,1,0
1991,10098,0,3,18,82,115.0,0,0,1987.0,0,0
1991,10099,1,2,14,SR4,202.0,0,0,1985.0,1,0
1991,10099,1,2,14,SR4,202.0,0,0,1965.0,0,0
1991,10100,0,2,20,SR4,209.0,0,0,1982.0,1,1
1991,10100,0,2,20,SR4,209.0,0,0,1985.0,0,0
1991,10101,0,4,8,SR8,52.0,0,0,1979.0,2,0
1991,10102,0,2,23,228,2.0,0,0,1980.0,1,1
1991,10103,0,1,19,SR30,84.0,0,0,1986.0,1,1
1991,10104,0,2,22,SR38,9.0,0,0,1986.0,0,0
1991,10105,1,2,18,154,306.0,0,0,1984.0,0,0
1991,10106,0,2,15,SR520,26.0,0,0,1990.0,1,0
1991,10106,0,2,15,SR520,26.0,0,0,1986.0,0,0
1991,10107,0,2,15,212,69.0,0,0,1977.0,0,0
1991,10108,0,2,9,5186,38.0,0,0,1978.0,1,1
1991,10109,0,3,14,156,95.0,0,0,1991.0,0,0
1991,10109,0,3,14,156,95.0,0,0,1980.0,1,1
1991,10110,0,4,17,SR8,77.0,0,0,1982.0,2,0
1991,10110,0,4,17,SR8,77.0,0,0,1986.0,0,0
1991,10111,0,2,17,SR1,136.0,0,0,1988.0,0,0
1991,10111,0,2,17,SR1,136.0,0,0,1983.0,1,1
1991,10112,0,2,17,704,26.0,0,0,1978.0,2,0
1991,10112,0,2,17,704,26.0,0,0,1989.0,1,0
1991,10113,0,2,21,645,23.0,0,0,1980.0,0,1
1991,10114,0,4,22,417,37.0,0,0,1978.0,1,0
1991,10114,0,4,22,417,37.0,0,0,1984.0,0,0
1991,10115,0,1,15,156,86.0,0,0,1987.0,0,0
1991,10115,0,1,15,156,86.0,0,0,1981.0,1,1
1991,10116,0,1,3,459,92.0,0,0,1988.0,1,0
1991,10116,0,1,3,459,92.0,0,0,1983.0,0,0
1991,10118,1,2,20,204,202.0,0,0,1987.0,0,0
1991,10119,1,2,13,677,9.0,0,0,1990.0,1,0
1991,10119,1,2,13,677,9.0,0,0,1977.0,0,1
1991,10120,0,2,16,62,240.0,0,0,1983.0,2,1
1991,10120,0,2,16,62,240.0,0,0,1985.0,0,0
1991,10120,0,2,16,62,240.0,0,0,1989.0,1,0
1991,10121,0,6,19,199,24.0,0,0,1984.0,0,1
1991,10121,0,6,19,199,24.0,0,0,1980.0,1,0
1991,10122,0,1,3,I16,1644.0,0,0,1984.0,1,0
1991,10123,1,2,9,SR12,121.0,0,0,1985.0,2,1
1991,10124,0,3,20,225,16.0,0,0,1986.0,1,0
1991,10125,0,3,3,45,129.0,0,0,1988.0,1,1
1991,10126,1,2,22,SR25,106.0,0,0,1985.0,1,1
1991,10127,1,2,22,435,2.0,0,0,1981.0,1,1
1991,10128,0,3,10,21,112.0,0,0,1984.0,1,0
1991,10128,0,3,10,21,112.0,0,0,1987.0,0,0
1991,10129,0,1,18,245,29.0,0,0,1978.0,2,0
1991,10129,0,1,18,245,29.0,0,0,1989.0,0,0
1991,10130,0,2,24,708,2.0,0,0,1989.0,1,1
1991,10130,0,2,24,708,2.0,0,0,1979.0,1,0
1991,10130,0,2,24,708,2.0,0,0,1986.0,0,0
1991,10131,0,2,15,SR20,89.0,0,0,1972.0,1,1
1991,10132,0,11,17,I75,2622.0,0,0,1987.0,1,0
1991,10133,0,2,17,1019,7.0,0,0,1980.0,1,0
1991,10133,0,2,17,1019,7.0,0,0,1982.0,0,0
1991,10135,0,2,1,1267,21.0,0,1,1969.0,0,1
1991,10135,0,2,1,1267,21.0,0,1,1987.0,0,0
1991,10136,1,2,1,10L0,4.0,0,0,1986.0,0,0
