YEAR,ST_CASE,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1982,10070,2,14,44,30.0,0,0,1967.0,0,0
1982,10070,2,14,44,30.0,0,0,1974.0,1,0
1982,10071,3,11,293,54.0,0,0,1980.0,1,0
1982,10071,3,11,293,54.0,0,0,1979.0,0,0
1982,10072,1,1,121,38944.0,0,0,1976.0,1,0
1982,10073,1,21,DELOWEDR,113.0,0,0,1972.0,1,0
1982,10074,2,11,510,38944.0,0,0,1980.0,0,1
1982,10074,2,11,510,38944.0,0,0,1970.0,1,0
1982,10075,1,12,9831,38944.0,0,0,1976.0,1,0
1982,10075,1,12,9831,38944.0,0,0,1969.0,0,0
1982,10076,7,23,95,101.0,0,0,1981.0,0,0
1982,10077,5,13,3,18.0,0,0,1980.0,1,0
1982,10078,2,17,314,38944.0,0,0,1970.0,0,0
1982,10078,2,17,314,38944.0,0,0,1970.0,1,0
1982,10079,4,22,55,116.0,0,0,1967.0,1,0
1982,10080,3,22,3,147.0,0,0,1979.0,0,0
1982,10081,2,10,15,102.0,0,0,1964.0,1,1
1982,10082,3,14,10,38944.0,0,0,1976.0,1,1
1982,10083,5,16,PEACHTREE,298.0,0,0,1973.0,1,0
1982,10084,2,15,PTREEDUNWY,38944.0,0,0,1979.0,1,1
1982,10085,2,17,800MARIAN,38944.0,0,0,1978.0,1,0
1982,10086,1,23,971,38944.0,0,0,1972.0,1,0
1982,10087,2,17,STEWARTAVE,34.0,0,0,1981.0,1,0
1982,10088,2,15,145,58.0,0,0,1976.0,1,1
1982,10089,2,8,21,32.0,0,0,1975.0,1,0
1982,10089,2,8,21,32.0,0,0,1977.0,0,0
1982,10090,2,24,293,199.0,0,0,1979.0,0,0
1982,10090,2,24,293,199.0,0,0,1978.0,1,0
1982,10091,1,14,MORROWIND,74.0,0,0,1981.0,0,0
1982,10093,2,14,MCDONOUGH,38944.0,0,0,1977.0,1,0
1982,10094,5,16,24,81.0,0,0,1978.0,1,0
1982,10095,2,18,146,38944.0,0,0,1981.0,1,0
1982,10095,2,18,146,38944.0,0,0,1978.0,0,0
1982,10096,1,16,164,38944.0,0,2,1975.0,0,0
1982,10097,1,11,106,38944.0,0,0,1982.0,0,0
1982,10097,1,11,106,38944.0,0,0,1976.0,0,0
1982,10098,3,21,S953,38944.0,0,0,1975.0,1,0
1982,10098,3,21,S953,38944.0,0,0,1974.0,0,0
1982,10099,1,2,S1281,38944.0,0,0,1978.0,1,0
1982,10100,1,1,16,177.0,0,0,1981.0,1,0
1982,10101,2,21,MTZIONBLVD,38944.0,0,0,1979.0,1,0
1982,10101,2,21,MTZIONBLVD,38944.0,0,0,1973.0,0,1
1982,10102,1,24,166E,98.0,0,0,1977.0,1,0
1982,10103,3,22,477,38944.0,0,0,1976.0,1,0
1982,10104,1,19,75,38944.0,0,0,1980.0,1,0
1982,10104,1,19,75,38944.0,0,0,1978.0,0,0
1982,10105,3,12,138E,113.0,0,0,1976.0,0,1
1982,10105,3,12,138E,113.0,0,0,1978.0,2,0
1982,10106,6,20,74,50.0,0,0,1974.0,1,1
1982,10107,2,22,36,150.0,0,2,1967.0,0,0
1982,10108,2,14,111,132.0,0,0,1974.0,1,0
1982,10108,2,14,111,132.0,0,0,1974.0,1,0
1982,10109,1,3,235,38944.0,0,0,1982.0,1,0
1982,10110,2,15,37,201.0,0,0,1982.0,1,1
1982,10110,2,15,37,201.0,0,0,1970.0,0,0
1982,10111,1,10,156,38944.0,0,0,1972.0,1,1
1982,10111,1,10,156,38944.0,0,0,1975.0,0,0
1982,10112,2,20,285W,38944.0,0,0,1969.0,1,1
1982,10113,2,7,NJACKSON,38944.0,0,0,1967.0,0,1
1982,10114,3,21,157,267.0,0,0,1969.0,1,1
1982,10115,5,3,95N,373.0,0,0,1966.0,0,0
1982,10115,5,3,95N,373.0,0,0,1969.0,1,0
1982,10116,6,18,106,133.0,0,0,1963.0,2,0
1982,10116,6,18,106,133.0,0,0,1974.0,0,0
1982,10117,2,22,585,38944.0,0,0,1978.0,1,1
1982,10118,4,4,75S,1261.0,0,0,1980.0,1,1
1982,10118,4,4,75S,1261.0,0,0,1976.0,0,0
1982,10119,1,23,41,13.0,0,0,1975.0,0,0
1982,10119,1,23,41,13.0,0,0,1979.0,3,0
1982,10120,3,2,285WEST,38944.0,0,0,1964.0,1,1
1982,10121,2,1,NHAIRSTON,145.0,0,0,1979.0,1,1
1982,10122,2,19,20,33.0,0,0,1977.0,2,1
1982,10123,1,24,SILKHOPE,38944.0,0,2,1979.0,0,1
1982,10124,4,14,11,45.0,0,0,1981.0,0,0
1982,10125,1,23,S2518,38944.0,0,0,1979.0,1,1
1982,10125,1,23,S2518,38944.0,0,0,1972.0,1,1
1982,10125,1,23,S2518,38944.0,0,0,1971.0,0,0
1982,10126,2,1,SR15,10.0,0,0,1979.0,0,0
1982,10126,2,1,SR15,10.0,0,0,1981.0,2,0
1982,10127,2,20,25,100.0,0,0,1974.0,1,1
1982,10128,2,19,14,145.0,0,2,1980.0,0,0
1982,10129,1,15,119,38944.0,0,0,1979.0,0,0
1982,10129,1,15,119,38944.0,0,0,1978.0,1,0
1982,10130,2,16,257,100.0,0,0,1974.0,1,0
1982,10130,2,16,257,100.0,0,0,1976.0,2,0
1982,10131,5,18,285,38944.0,0,0,1982.0,1,0
1982,10131,5,18,285,38944.0,0,0,1976.0,0,0
1982,10132,1,2,75N,38944.0,0,0,1977.0,1,1
1982,10133,1,4,GA410,138.0,0,0,1978.0,1,0
1982,10134,3,23,1951,38944.0,0,0,1976.0,0,0
1982,10134,3,23,1951,38944.0,0,0,1980.0,1,0
1982,10135,2,16,15,149.0,0,0,1973.0,1,0
